true_label,attention,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,hybrid_fixed__norm=minmax__alpha=0.60,ig,random
0,0.3029860209927327,0.290147229209039,0.29094224464250446,0.2883438860857788,0.4593405091548417
1,0.3575703370433031,0.25829357641327566,0.26573152441896436,0.25308631506335966,0.4735389818698762
2,0.13162455157040961,0.08545061491353298,0.08868896417841533,0.08084793504252115,0.3132567028244775
3,0.3793607776880001,0.363377610201453,0.3620066933867541,0.3637269136199245,0.5096605888373362
4,0.3012643629215679,0.26588470780978124,0.2663987778564101,0.2635416402109497,0.45867491314988407
5,0.0481050110401261,0.046032195772794056,0.04585974428281852,0.04634447934000538,0.268088275633433
