method,repeated_mean_auc,repeated_std_auc
ig,0.2577718159656163,0.0036681797750907873
hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.26094116328068095,0.004138273596547526
hybrid_fixed__norm=minmax__alpha=0.60,0.2637929470430036,0.003511555484787632
attention,0.30842946365855134,0.0035818487220890378
random,0.4519166733438419,0.0038207398456934806
